UE ID,Internet usage,Data rate,optimal GU
1,114.92610816361044,9.57717568030087,33.176309742588266
2,139.03633066735264,11.586360888946054,40.13633146896694
3,122.08296792637799,10.1735806605315,35.24231719788139
4,131.1373911076141,10.928115925634508,37.85610402840312
5,114.86163246803626,9.571802705669688,33.1576972124903
6,118.23467547150621,9.852889622625517,34.13141085551108
7,127.35264248479943,10.61272020706662,36.76354121030456
8,109.16713221140931,9.097261017617443,31.513836584458318
9,115.15676268314836,9.596396890262364,33.24289396706078
10,115.37521819258038,9.614601516048365,33.30595664064904
11,118.68365022656954,9.890304185547462,34.26101870335866
12,107.20368360773809,8.933640300644841,30.947037794523528
13,122.8536211651154,10.237801763759617,35.46478562529984
14,121.04960002269729,10.087466668558108,34.944009579200404
15,116.2293547242555,9.685779560354625,33.55252461889271
16,115.2528236603811,9.604401971698424,33.27062438259274
17,116.26199242132749,9.688499368443958,33.561946310487826
18,123.62781310207255,10.302317758506046,35.68827558690317
19,123.14289357816263,10.26190779818022,35.548291378070815
20,115.61929887602464,9.634941573002054,33.37641666479431
